,area_type,total_sqft,bathroom,balcony,price,site_location,BHK
40,Super built-up  Area,1130.0,2.0,1,45.2,Alandi Road,2.0
41,Super built-up  Area,1065.0,2.0,2,55.0,Alandi Road,2.0
42,Super built-up  Area,1246.0,2.0,1,67.4,Alandi Road,2.0
43,Built-up  Area,1080.0,2.0,2,45.0,Alandi Road,2.0
44,Super built-up  Area,914.0,2.0,1,38.0,Alandi Road,2.0
45,Super built-up  Area,1150.0,2.0,0,38.0,Alandi Road,2.0
46,Super built-up  Area,1338.0,2.0,1,103.0,Alandi Road,2.0
47,Plot  Area,2408.5,2.0,1,160.0,Alandi Road,2.0
48,Super built-up  Area,1565.0,2.0,2,69.0,Alandi Road,2.0
49,Super built-up  Area,1185.0,2.0,1,51.15,Alandi Road,2.0
50,Super built-up  Area,1091.0,2.0,1,38.0,Alandi Road,2.0
51,Super built-up  Area,1135.0,2.0,2,68.0,Alandi Road,2.0
52,Super built-up  Area,900.0,2.0,1,40.0,Alandi Road,2.0
53,Super built-up  Area,900.0,1.0,1,38.0,Alandi Road,2.0
54,Super built-up  Area,1049.0,2.0,1,51.0,Alandi Road,2.0
55,Super built-up  Area,945.0,2.0,1,38.0,Alandi Road,2.0
56,Super built-up  Area,1194.0,2.0,1,51.0,Alandi Road,2.0
57,Built-up  Area,1189.0,2.0,1,45.0,Alandi Road,2.0
58,Super built-up  Area,1339.0,2.0,1,53.56,Alandi Road,2.0
59,Super built-up  Area,1350.0,2.0,3,68.0,Alandi Road,2.0
60,Super built-up  Area,1244.0,2.0,2,88.0,Alandi Road,2.0
61,Super built-up  Area,1041.0,2.0,2,54.0,Alandi Road,2.0
62,Super built-up  Area,1027.0,2.0,2,44.0,Alandi Road,2.0
63,Super built-up  Area,1205.0,2.0,2,38.0,Alandi Road,2.0
64,Super built-up  Area,1105.0,2.0,1,39.5,Alandi Road,2.0
65,Super built-up  Area,1763.0,3.0,2,220.0,Alandi Road,2.0
66,Super built-up  Area,1089.0,2.0,1,40.0,Alandi Road,2.0
67,Super built-up  Area,1200.0,2.0,2,45.0,Alandi Road,2.0
68,Plot  Area,1200.0,2.0,0,75.0,Alandi Road,2.0
69,Super built-up  Area,1750.0,3.0,2,130.0,Alandi Road,3.0
70,Super built-up  Area,1655.0,3.0,2,86.06,Alandi Road,3.0
71,Super built-up  Area,1564.0,3.0,1,101.0,Alandi Road,3.0
72,Built-up  Area,2408.5,3.0,0,220.0,Alandi Road,3.0
73,Plot  Area,900.0,2.0,1,80.0,Alandi Road,3.0
74,Plot  Area,1500.0,2.0,0,85.0,Alandi Road,3.0
75,Super built-up  Area,1150.0,2.0,2,77.5,Alandi Road,3.0
76,Super built-up  Area,1080.0,2.0,2,75.0,Alandi Road,3.0
77,Built-up  Area,2408.5,3.0,3,220.0,Alandi Road,3.0
78,Super built-up  Area,1743.0,3.0,2,93.25,Alandi Road,3.0
79,Super built-up  Area,1265.0,2.0,1,65.0,Alandi Road,3.0
80,Super built-up  Area,1718.0,3.0,3,220.0,Alandi Road,3.0
81,Super built-up  Area,2072.0,4.0,2,155.0,Alandi Road,3.0
82,Super built-up  Area,1855.0,3.0,2,145.0,Alandi Road,3.0
83,Super built-up  Area,1540.0,3.0,3,85.0,Alandi Road,3.0
84,Super built-up  Area,1756.0,3.0,2,128.0,Alandi Road,3.0
85,Super built-up  Area,2144.6,4.0,2,145.0,Alandi Road,3.0
86,Super built-up  Area,1856.0,3.0,2,135.0,Alandi Road,3.0
87,Built-up  Area,1800.0,4.0,1,125.0,Alandi Road,3.0
88,Super built-up  Area,1830.0,4.0,2,150.0,Alandi Road,3.0
89,Built-up  Area,1907.0,2.0,1,200.0,Alandi Road,3.0
90,Built-up  Area,1685.0,3.0,3,115.0,Alandi Road,3.0
91,Super built-up  Area,1260.0,2.0,1,75.0,Alandi Road,3.0
92,Super built-up  Area,1540.0,3.0,1,90.0,Alandi Road,3.0
93,Super built-up  Area,1719.0,3.0,2,135.0,Alandi Road,3.0
94,Super built-up  Area,1801.0,3.0,2,115.0,Alandi Road,3.0
95,Super built-up  Area,925.0,2.0,1,49.82,Alandi Road,3.0
96,Super built-up  Area,1255.0,3.0,1,90.0,Alandi Road,3.0
97,Super built-up  Area,1600.0,3.0,2,220.0,Alandi Road,3.0
98,Plot  Area,2408.5,4.0,1,220.0,Alandi Road,4.0
99,Plot  Area,1200.0,5.0,1,220.0,Alandi Road,4.0
101,Built-up  Area,2408.5,4.0,0,220.0,Alandi Road,4.0
102,Plot  Area,2408.5,4.0,3,220.0,Alandi Road,4.0
103,Super built-up  Area,2408.5,5.0,1,220.0,Alandi Road,4.0
104,Plot  Area,2408.5,4.0,2,220.0,Alandi Road,4.0
105,Plot  Area,2408.5,5.0,3,220.0,Alandi Road,4.0
106,Plot  Area,1200.0,4.0,1,125.0,Alandi Road,4.0
107,Super built-up  Area,2408.5,4.0,2,220.0,Alandi Road,4.0
108,Plot  Area,2360.0,4.0,2,220.0,Alandi Road,4.0
112,Super built-up  Area,1351.0,2.0,1,53.0,Ambegaon Budruk,1.0
113,Super built-up  Area,900.0,1.0,0,38.0,Ambegaon Budruk,1.0
114,Super built-up  Area,900.0,1.0,0,47.0,Ambegaon Budruk,1.0
115,Super built-up  Area,900.0,1.0,1,38.0,Ambegaon Budruk,1.0
116,Carpet  Area,900.0,1.0,1,38.0,Ambegaon Budruk,1.0
117,Super built-up  Area,1015.0,2.0,2,38.0,Ambegaon Budruk,2.0
118,Super built-up  Area,950.0,2.0,1,40.0,Ambegaon Budruk,2.0
119,Plot  Area,1200.0,2.0,0,65.0,Ambegaon Budruk,2.0
120,Super built-up  Area,1215.0,2.0,1,67.0,Ambegaon Budruk,2.0
121,Super built-up  Area,900.0,2.0,1,41.1,Ambegaon Budruk,2.0
122,Super built-up  Area,1036.0,2.0,1,50.0,Ambegaon Budruk,2.0
123,Plot  Area,1240.0,2.0,1,60.0,Ambegaon Budruk,2.0
124,Super built-up  Area,1330.0,2.0,1,86.98,Ambegaon Budruk,2.0
125,Super built-up  Area,1450.0,1.0,0,220.0,Ambegaon Budruk,2.0
126,Super built-up  Area,1115.0,2.0,2,50.0,Ambegaon Budruk,2.0
127,Super built-up  Area,1045.0,2.0,1,45.0,Ambegaon Budruk,2.0
128,Super built-up  Area,1070.0,2.0,1,54.0,Ambegaon Budruk,2.0
129,Super built-up  Area,1089.0,2.0,1,43.55,Ambegaon Budruk,2.0
130,Super built-up  Area,900.0,2.0,2,38.0,Ambegaon Budruk,2.0
131,Super built-up  Area,1065.0,2.0,3,50.0,Ambegaon Budruk,2.0
132,Super built-up  Area,1146.0,2.0,1,39.5,Ambegaon Budruk,2.0
133,Super built-up  Area,1000.0,2.0,1,60.0,Ambegaon Budruk,2.0
134,Super built-up  Area,1274.0,2.0,2,48.42,Ambegaon Budruk,2.0
135,Super built-up  Area,1263.0,2.0,1,78.0,Ambegaon Budruk,2.0
136,Built-up  Area,1000.0,2.0,1,68.0,Ambegaon Budruk,2.0
137,Super built-up  Area,1360.0,2.0,1,103.0,Ambegaon Budruk,2.0
138,Built-up  Area,1140.0,2.0,2,52.0,Ambegaon Budruk,2.0
139,Super built-up  Area,1174.0,2.0,1,75.0,Ambegaon Budruk,2.0
140,Super built-up  Area,1075.0,2.0,2,38.0,Ambegaon Budruk,2.0
141,Super built-up  Area,1390.0,2.0,2,65.0,Ambegaon Budruk,2.0
142,Super built-up  Area,1010.0,2.0,1,38.0,Ambegaon Budruk,2.0
143,Super built-up  Area,1250.0,2.0,1,60.0,Ambegaon Budruk,2.0
144,Super built-up  Area,1200.0,2.0,2,52.5,Ambegaon Budruk,2.0
145,Super built-up  Area,919.0,2.0,2,38.0,Ambegaon Budruk,2.0
146,Super built-up  Area,1242.0,2.0,2,65.0,Ambegaon Budruk,2.0
147,Super built-up  Area,913.0,2.0,1,38.0,Ambegaon Budruk,2.0
148,Super built-up  Area,900.0,2.0,1,45.0,Ambegaon Budruk,2.0
149,Built-up  Area,1395.0,2.0,0,75.0,Ambegaon Budruk,2.0
150,Built-up  Area,1258.0,2.0,0,58.0,Ambegaon Budruk,2.0
151,Super built-up  Area,900.0,2.0,1,38.0,Ambegaon Budruk,2.0
152,Plot  Area,900.0,2.0,0,55.0,Ambegaon Budruk,2.0
153,Super built-up  Area,1089.0,2.0,1,49.0,Ambegaon Budruk,2.0
154,Built-up  Area,1086.0,2.0,2,44.5,Ambegaon Budruk,2.0
155,Super built-up  Area,1215.0,2.0,1,68.0,Ambegaon Budruk,2.0
156,Built-up  Area,900.0,2.0,1,72.0,Ambegaon Budruk,2.0
157,Super built-up  Area,1398.0,2.0,1,97.0,Ambegaon Budruk,2.0
158,Super built-up  Area,1340.0,2.0,3,85.0,Ambegaon Budruk,2.0
159,Super built-up  Area,984.0,2.0,1,45.91,Ambegaon Budruk,2.0
160,Super built-up  Area,1035.0,2.0,1,39.0,Ambegaon Budruk,2.0
161,Super built-up  Area,1107.83,2.0,1,41.51,Ambegaon Budruk,2.0
162,Super built-up  Area,1220.0,2.0,2,62.0,Ambegaon Budruk,2.0
163,Built-up  Area,900.0,2.0,1,38.0,Ambegaon Budruk,2.0
164,Built-up  Area,1200.0,2.0,2,45.0,Ambegaon Budruk,2.0
165,Super built-up  Area,1310.0,2.0,3,60.0,Ambegaon Budruk,2.0
166,Super built-up  Area,1315.0,2.0,3,55.0,Ambegaon Budruk,2.0
167,Super built-up  Area,1220.0,2.0,1,55.0,Ambegaon Budruk,2.0
168,Plot  Area,1200.0,1.0,0,50.0,Ambegaon Budruk,2.0
169,Super built-up  Area,1150.0,2.0,1,45.99,Ambegaon Budruk,2.0
170,Super built-up  Area,1165.0,2.0,1,52.0,Ambegaon Budruk,2.0
171,Super built-up  Area,1160.0,2.0,2,49.0,Ambegaon Budruk,2.0
172,Super built-up  Area,925.0,2.0,1,38.0,Ambegaon Budruk,2.0
173,Super built-up  Area,1112.0,2.0,1,58.0,Ambegaon Budruk,2.0
174,Super built-up  Area,1180.0,2.0,2,78.34,Ambegaon Budruk,3.0
175,Plot  Area,900.0,4.0,0,95.0,Ambegaon Budruk,3.0
176,Super built-up  Area,2060.0,3.0,1,149.0,Ambegaon Budruk,3.0
177,Super built-up  Area,1890.0,4.0,3,127.0,Ambegaon Budruk,3.0
178,Super built-up  Area,1700.0,3.0,1,180.0,Ambegaon Budruk,3.0
179,Super built-up  Area,1340.0,2.0,1,100.0,Ambegaon Budruk,3.0
180,Built-up  Area,1500.0,2.0,1,143.0,Ambegaon Budruk,3.0
181,Super built-up  Area,1665.0,3.0,2,86.91,Ambegaon Budruk,3.0
182,Super built-up  Area,1819.18,3.0,1,160.0,Ambegaon Budruk,3.0
183,Super built-up  Area,1444.0,2.0,1,80.0,Ambegaon Budruk,3.0
184,Super built-up  Area,1690.0,3.0,2,112.0,Ambegaon Budruk,3.0
185,Super built-up  Area,1500.0,3.0,3,95.0,Ambegaon Budruk,3.0
186,Super built-up  Area,1550.0,3.0,2,220.0,Ambegaon Budruk,3.0
187,Super built-up  Area,1724.0,3.0,1,146.0,Ambegaon Budruk,3.0
188,Super built-up  Area,1444.0,2.0,2,71.5,Ambegaon Budruk,3.0
189,Plot  Area,1200.0,2.0,2,220.0,Ambegaon Budruk,3.0
190,Built-up  Area,2408.5,3.0,2,147.0,Ambegaon Budruk,3.0
191,Plot  Area,1200.0,3.0,1,140.0,Ambegaon Budruk,3.0
192,Super built-up  Area,1512.0,3.0,2,103.0,Ambegaon Budruk,3.0
193,Plot  Area,2408.5,3.0,2,220.0,Ambegaon Budruk,3.0
194,Plot  Area,2000.0,2.0,0,180.0,Ambegaon Budruk,3.0
195,Built-up  Area,2400.0,2.0,1,125.0,Ambegaon Budruk,3.0
196,Super built-up  Area,2210.0,3.0,3,165.0,Ambegaon Budruk,3.0
197,Super built-up  Area,1800.0,3.0,2,93.0,Ambegaon Budruk,3.0
198,Super built-up  Area,1600.0,2.0,1,90.0,Ambegaon Budruk,3.0
199,Super built-up  Area,2275.0,4.0,2,185.0,Ambegaon Budruk,3.0
200,Built-up  Area,1350.0,3.0,2,70.0,Ambegaon Budruk,3.0
201,Super built-up  Area,2408.5,4.0,0,175.0,Ambegaon Budruk,3.0
202,Super built-up  Area,1725.0,3.0,2,106.0,Ambegaon Budruk,3.0
203,Super built-up  Area,1450.0,2.0,2,73.0,Ambegaon Budruk,3.0
204,Super built-up  Area,1516.0,3.0,1,147.0,Ambegaon Budruk,3.0
205,Super built-up  Area,1790.0,3.0,2,120.0,Ambegaon Budruk,3.0
206,Built-up  Area,1490.0,3.0,0,85.0,Ambegaon Budruk,3.0
208,Super built-up  Area,2408.5,2.0,2,220.0,Ambegaon Budruk,4.0
210,Super built-up  Area,2408.5,2.0,3,220.0,Ambegaon Budruk,4.0
211,Plot  Area,1650.0,4.0,3,220.0,Ambegaon Budruk,4.0
212,Plot  Area,2400.0,5.0,2,190.0,Ambegaon Budruk,4.0
214,Plot  Area,2100.0,2.0,1,220.0,Ambegaon Budruk,4.0
215,Super built-up  Area,2408.5,2.0,2,220.0,Ambegaon Budruk,4.0
216,Plot  Area,2400.0,4.0,1,220.0,Ambegaon Budruk,4.0
218,Super built-up  Area,2408.5,3.0,2,220.0,Ambegaon Budruk,5.0
219,Plot  Area,2250.0,5.0,1,220.0,Ambegaon Budruk,5.0
227,Built-up  Area,900.0,1.0,0,175.0,Anandnagar,1.0
228,Super built-up  Area,900.0,1.0,1,52.5,Anandnagar,1.0
229,Super built-up  Area,900.0,2.0,1,38.0,Anandnagar,1.0
230,Super built-up  Area,900.0,1.0,2,38.0,Anandnagar,1.0
231,Super built-up  Area,900.0,1.0,0,42.5,Anandnagar,1.0
232,Super built-up  Area,900.0,1.0,1,38.0,Anandnagar,1.0
233,Super built-up  Area,900.0,1.0,1,52.0,Anandnagar,1.0
234,Super built-up  Area,900.0,1.0,1,38.0,Anandnagar,1.0
235,Super built-up  Area,1300.0,1.0,1,115.0,Anandnagar,2.0
236,Plot  Area,1200.0,2.0,1,125.0,Anandnagar,2.0
237,Super built-up  Area,1290.0,2.0,1,85.0,Anandnagar,2.0
238,Super built-up  Area,1418.0,2.0,2,103.0,Anandnagar,2.0
239,Super built-up  Area,1314.0,2.0,2,110.0,Anandnagar,2.0
240,Built-up  Area,1000.0,2.0,0,70.0,Anandnagar,2.0
241,Plot  Area,900.0,2.0,3,190.0,Anandnagar,3.0
242,Super built-up  Area,2197.0,4.0,3,220.0,Anandnagar,3.0
243,Plot  Area,1350.0,3.0,1,220.0,Anandnagar,3.0
244,Super built-up  Area,2408.5,3.0,2,220.0,Anandnagar,3.0
245,Plot  Area,1200.0,4.0,0,145.0,Anandnagar,3.0
246,Built-up  Area,1725.0,2.0,1,165.0,Anandnagar,3.0
247,Plot  Area,1240.0,4.0,1,180.0,Anandnagar,3.0
248,Super built-up  Area,1613.0,3.0,0,150.0,Anandnagar,3.0
249,Built-up  Area,2200.0,3.0,2,220.0,Anandnagar,3.0
250,Super built-up  Area,1776.0,3.0,2,150.0,Anandnagar,3.0
251,Plot  Area,1450.0,3.0,3,132.0,Anandnagar,4.0
252,Super built-up  Area,2408.5,4.0,2,220.0,Anandnagar,4.0
253,Plot  Area,2408.5,4.0,2,220.0,Anandnagar,4.0
254,Super built-up  Area,2328.0,4.0,1,220.0,Anandnagar,4.0
255,Built-up  Area,2408.5,4.0,1,220.0,Anandnagar,4.0
256,Super built-up  Area,2400.0,4.0,3,220.0,Anandnagar,4.0
257,Plot  Area,1200.0,3.0,2,125.0,Anandnagar,4.0
259,Super built-up  Area,2408.5,4.0,2,220.0,Anandnagar,4.0
261,Plot  Area,2400.0,5.0,3,220.0,Anandnagar,4.0
262,Plot  Area,1200.0,4.0,3,155.0,Anandnagar,4.0
264,Built-up  Area,2000.0,5.0,2,220.0,Anandnagar,5.0
265,Plot  Area,2400.0,2.0,2,220.0,Anandnagar,6.0
267,Super built-up  Area,2408.5,2.0,3,180.0,Anandnagar,7.0
268,Super built-up  Area,900.0,1.0,1,38.0,Aundh,1.0
269,Super built-up  Area,960.0,2.0,1,38.0,Aundh,1.0
270,Super built-up  Area,900.0,1.0,0,38.0,Aundh,1.0
271,Super built-up  Area,900.0,1.0,0,38.0,Aundh,1.0
272,Plot  Area,900.0,1.0,0,88.2,Aundh,1.0
273,Super built-up  Area,900.0,1.0,0,38.0,Aundh,1.0
274,Plot  Area,1350.0,1.0,0,55.0,Aundh,1.0
275,Built-up  Area,1090.0,2.0,1,38.0,Aundh,1.0
276,Plot  Area,900.0,1.0,0,38.0,Aundh,1.0
277,Super built-up  Area,1327.0,2.0,2,98.0,Aundh,2.0
278,Super built-up  Area,1355.0,2.0,2,115.0,Aundh,2.0
279,Built-up  Area,1180.0,2.0,2,75.0,Aundh,2.0
280,Built-up  Area,1192.0,2.0,1,71.0,Aundh,2.0
281,Plot  Area,1350.0,2.0,0,90.0,Aundh,2.0
282,Super built-up  Area,1299.0,2.0,2,85.0,Aundh,2.0
283,Super built-up  Area,1251.0,2.0,1,88.73,Aundh,2.0
284,Super built-up  Area,1322.0,2.0,2,86.0,Aundh,2.0
285,Super built-up  Area,1290.0,2.0,2,80.0,Aundh,2.0
286,Super built-up  Area,1302.0,2.0,1,68.5,Aundh,2.0
287,Super built-up  Area,1000.0,1.0,1,90.0,Aundh,2.0
288,Super built-up  Area,1250.0,2.0,2,95.0,Aundh,2.0
289,Built-up  Area,1255.0,2.0,1,84.0,Aundh,2.0
290,Super built-up  Area,900.0,2.0,1,40.0,Aundh,2.0
291,Plot  Area,2400.0,2.0,1,125.0,Aundh,2.0
292,Super built-up  Area,1290.0,2.0,2,72.0,Aundh,2.0
293,Super built-up  Area,1234.0,2.0,2,80.0,Aundh,2.0
294,Built-up  Area,1200.0,3.0,1,90.0,Aundh,3.0
295,Built-up  Area,1580.0,2.0,0,134.0,Aundh,3.0
296,Super built-up  Area,1464.0,2.0,3,105.0,Aundh,3.0
297,Super built-up  Area,2408.5,3.0,2,220.0,Aundh,3.0
298,Super built-up  Area,2408.5,4.0,1,220.0,Aundh,3.0
299,Super built-up  Area,1837.0,3.0,3,145.0,Aundh,3.0
300,Super built-up  Area,1512.0,2.0,2,110.0,Aundh,3.0
301,Built-up  Area,2388.0,4.0,3,220.0,Aundh,3.0
302,Plot  Area,2408.5,3.0,1,220.0,Aundh,3.0
303,Super built-up  Area,1450.0,3.0,2,100.0,Aundh,3.0
304,Super built-up  Area,1706.0,3.0,3,154.0,Aundh,3.0
305,Super built-up  Area,1700.0,3.0,2,150.0,Aundh,3.0
306,Super built-up  Area,2408.5,3.0,2,220.0,Aundh,3.0
307,Super built-up  Area,2003.0,3.0,3,200.0,Aundh,3.0
308,Super built-up  Area,1640.0,3.0,2,220.0,Aundh,3.0
309,Plot  Area,2408.5,2.0,2,220.0,Aundh,3.0
310,Super built-up  Area,1885.0,3.0,2,135.0,Aundh,3.0
311,Super built-up  Area,1482.0,3.0,1,110.0,Aundh,3.0
312,Super built-up  Area,1703.0,3.0,2,120.0,Aundh,3.0
313,Plot  Area,1200.0,4.0,3,120.0,Aundh,4.0
315,Plot  Area,1200.0,3.0,2,188.0,Aundh,4.0
316,Plot  Area,1200.0,4.0,2,220.0,Aundh,4.0
317,Plot  Area,2408.5,5.0,2,220.0,Aundh,4.0
318,Super built-up  Area,2408.5,4.0,2,220.0,Aundh,4.0
319,Plot  Area,1500.0,4.0,3,220.0,Aundh,4.0
321,Plot  Area,2408.5,4.0,1,220.0,Aundh,4.0
322,Plot  Area,1200.0,3.0,1,180.0,Aundh,4.0
323,Super built-up  Area,2408.5,5.0,1,220.0,Aundh,4.0
324,Plot  Area,1200.0,5.0,1,220.0,Aundh,4.0
325,Built-up  Area,1632.0,3.0,0,140.0,Aundh,4.0
326,Super built-up  Area,2408.5,5.0,2,220.0,Aundh,4.0
327,Plot  Area,1560.0,3.0,2,149.0,Aundh,4.0
328,Built-up  Area,2400.0,3.0,0,185.0,Aundh,4.0
329,Plot  Area,2408.5,4.0,3,220.0,Aundh,4.0
335,Plot  Area,2408.5,2.0,1,195.0,Aundh,6.0
336,Plot  Area,2400.0,2.0,0,220.0,Aundh,6.0
338,Built-up  Area,2408.5,5.0,3,220.0,Aundh,6.0
340,Plot  Area,900.0,1.0,0,50.0,Aundh Road,1.0
341,Super built-up  Area,900.0,1.0,1,40.0,Aundh Road,1.0
342,Super built-up  Area,900.0,1.0,0,38.0,Aundh Road,1.0
343,Plot  Area,900.0,1.0,1,38.0,Aundh Road,1.0
344,Built-up  Area,900.0,1.0,2,57.0,Aundh Road,1.0
345,Built-up  Area,905.0,1.0,1,52.0,Aundh Road,1.0
346,Built-up  Area,900.0,1.0,1,40.0,Aundh Road,1.0
347,Built-up  Area,900.0,1.0,1,41.0,Aundh Road,1.0
348,Super built-up  Area,1234.0,2.0,2,80.0,Aundh Road,2.0
349,Super built-up  Area,1330.0,2.0,1,92.5,Aundh Road,2.0
350,Built-up  Area,1000.0,2.0,1,130.0,Aundh Road,2.0
351,Plot  Area,900.0,1.0,0,70.0,Aundh Road,2.0
352,Plot  Area,1100.0,2.0,0,68.0,Aundh Road,2.0
353,Plot  Area,1200.0,2.0,1,100.0,Aundh Road,2.0
354,Super built-up  Area,1369.1,2.0,1,104.0,Aundh Road,2.0
355,Plot  Area,900.0,1.0,0,38.0,Aundh Road,2.0
356,Super built-up  Area,1000.0,2.0,1,70.65,Aundh Road,2.0
357,Built-up  Area,1290.0,2.0,0,90.0,Aundh Road,2.0
358,Plot  Area,900.0,3.0,1,45.0,Aundh Road,2.0
359,Carpet  Area,1100.0,2.0,2,70.0,Aundh Road,2.0
360,Built-up  Area,900.0,2.0,1,60.0,Aundh Road,2.0
361,Built-up  Area,1130.0,2.0,2,68.0,Aundh Road,2.0
362,Plot  Area,1000.0,2.0,0,66.0,Aundh Road,2.0
363,Super built-up  Area,1293.0,2.0,2,80.0,Aundh Road,2.0
364,Super built-up  Area,1245.0,2.0,2,80.0,Aundh Road,2.0
365,Plot  Area,1000.0,2.0,0,66.0,Aundh Road,2.0
366,Super built-up  Area,1650.0,3.0,2,125.0,Aundh Road,3.0
367,Super built-up  Area,2408.5,3.0,1,215.0,Aundh Road,3.0
368,Super built-up  Area,2408.5,3.0,2,220.0,Aundh Road,3.0
369,Super built-up  Area,2145.0,4.0,1,220.0,Aundh Road,3.0
370,Plot  Area,1095.0,3.0,0,215.0,Aundh Road,3.0
371,Built-up  Area,900.0,2.0,3,110.0,Aundh Road,3.0
372,Super built-up  Area,2408.5,3.0,1,220.0,Aundh Road,3.0
373,Plot  Area,2232.0,2.0,2,220.0,Aundh Road,3.0
374,Plot  Area,900.0,3.0,0,95.0,Aundh Road,3.0
375,Super built-up  Area,2408.5,3.0,3,220.0,Aundh Road,3.0
376,Plot  Area,900.0,3.0,1,79.0,Aundh Road,3.0
377,Built-up  Area,1222.0,3.0,2,95.0,Aundh Road,3.0
378,Plot  Area,1200.0,3.0,0,200.0,Aundh Road,3.0
379,Super built-up  Area,1650.0,3.0,1,126.0,Aundh Road,3.0
380,Super built-up  Area,2408.5,3.0,2,220.0,Aundh Road,3.0
381,Plot  Area,900.0,3.0,0,63.0,Aundh Road,3.0
382,Plot  Area,1200.0,4.0,1,220.0,Aundh Road,4.0
383,Super built-up  Area,2408.5,5.0,1,220.0,Aundh Road,4.0
384,Super built-up  Area,2408.5,4.0,1,220.0,Aundh Road,4.0
385,Super built-up  Area,2408.5,5.0,2,220.0,Aundh Road,4.0
387,Plot  Area,2408.5,4.0,2,220.0,Aundh Road,4.0
389,Plot  Area,2408.5,5.0,3,220.0,Aundh Road,5.0
390,Plot  Area,1500.0,5.0,2,210.0,Aundh Road,5.0
391,Built-up  Area,2200.0,2.0,2,68.0,Aundh Road,6.0
392,Built-up  Area,2408.5,2.0,2,220.0,Aundh Road,7.0
393,Plot  Area,2400.0,2.0,1,220.0,Aundh Road,7.0
394,Built-up  Area,900.0,1.0,1,38.0,Balaji Nagar,1.0
395,Super built-up  Area,900.0,1.0,0,38.0,Balaji Nagar,1.0
396,Super built-up  Area,900.0,1.0,0,38.0,Balaji Nagar,1.0
397,Plot  Area,1150.0,1.0,0,52.0,Balaji Nagar,1.0
398,Super built-up  Area,900.0,1.0,1,38.0,Balaji Nagar,1.0
399,Super built-up  Area,1170.0,2.0,1,38.0,Balaji Nagar,2.0
400,Built-up  Area,900.0,1.0,1,38.0,Balaji Nagar,2.0
401,Super built-up  Area,1349.0,2.0,1,98.2,Balaji Nagar,2.0
402,Built-up  Area,1245.0,2.0,1,94.0,Balaji Nagar,2.0
403,Super built-up  Area,1342.0,2.0,1,73.3,Balaji Nagar,2.0
404,Super built-up  Area,1400.0,2.0,2,78.0,Balaji Nagar,2.0
405,Plot  Area,1200.0,2.0,0,71.0,Balaji Nagar,2.0
